subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
7,wby,m,23,r,1,(-121.76378772032352, -121.76378772032348),26,-5,12,yes,x,5,None,None,0,1,prac,0,1.9800890999995318,-50.0
7,wby,m,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-3,11,yes,x,5,m,0.5750893000003998,0,2,prac,0,0.5752053999995042,-48.0
7,wby,m,23,r,1,(172.20000000000002, 0.0),21,-5,12,yes,x,5,m,1.257891600000221,0,3,prac,0,1.258073200000581,-50.0
7,wby,m,23,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,25,4,yes,x,5,x,0.7909667000003537,1,4,prac,0,0.7910821000004944,-20.0
7,wby,m,23,r,1,(-121.76378772032352, -121.76378772032348),26,-25,14,no,m,6,m,0.8643047000005026,1,5,prac,0,0.8644341999997778,-20.0
7,wby,m,23,r,1,(121.76378772032349, 121.76378772032349),22,-5,12,yes,x,5,m,0.5970641999992949,0,6,prac,0,0.5971621999997296,-50.0
7,wby,m,23,r,1,(121.76378772032346, -121.76378772032352),28,-5,12,no,m,6,m,0.8293366999996579,1,7,prac,0,0.8294685999999274,-50.0
7,wby,m,23,r,1,(121.76378772032346, -121.76378772032352),28,-25,14,yes,x,5,x,0.764393000000382,1,8,prac,0,0.7644943999994211,-70.0
7,wby,m,23,r,1,(121.76378772032349, 121.76378772032349),22,-7,13,no,m,6,m,0.6214205000005677,1,9,prac,0,0.6217299999998431,-70.0
7,wby,m,23,r,1,(-121.76378772032348, 121.76378772032349),24,-3,11,yes,x,5,m,0.7550116000002163,0,10,prac,0,0.7551869999997507,-48.0
7,wby,m,23,r,1,(121.76378772032349, 121.76378772032349),22,25,4,no,m,6,m,0.70045890000074,1,11,prac,0,0.7005550000003495,-48.0
