subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
23,lyy,f,22,r,1,(121.76378772032349, 121.76378772032349),22,5,2,yes,x,5,m,0.7171282999916002,0,1,prac,0,0.717328600003384,-40.0
23,lyy,f,22,r,1,(-121.76378772032352, -121.76378772032348),26,5,2,yes,x,5,m,0.779166099964641,0,2,prac,0,0.7792961999075487,-40.0
23,lyy,f,22,r,1,(172.20000000000002, 0.0),21,-3,11,no,m,6,m,1.1153751999372616,1,3,prac,0,1.1155555000295863,-40.0
23,lyy,f,22,r,1,(121.76378772032346, -121.76378772032352),28,-5,12,no,m,6,m,1.0326719000004232,1,4,prac,0,1.0328557000029832,-40.0
23,lyy,f,22,r,1,(172.20000000000002, 0.0),21,3,1,yes,x,5,m,0.7868486000224948,0,5,prac,0,0.786999800009653,-42.0
23,lyy,f,22,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,-3,11,no,m,6,m,1.157439099973999,1,6,prac,0,1.1575362000148743,-42.0
23,lyy,f,22,r,1,(1.0544208940658713e-14, 172.20000000000002),23,3,1,yes,x,5,m,0.9783199999947101,0,7,prac,0,0.9784709999803454,-42.0
23,lyy,f,22,r,1,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,m,1.2337015999946743,0,8,prac,0,1.2338252000045031,-42.0
23,lyy,f,22,r,1,(-3.163262682197613e-14, -172.20000000000002),27,25,4,yes,x,5,x,0.5667877999367192,1,9,prac,0,0.566930300090462,-20.0
23,lyy,f,22,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,7,3,yes,x,5,x,0.7356380999553949,1,10,prac,0,0.7358309000264853,-38.0
23,lyy,f,22,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,5,2,yes,x,5,x,0.6727547999471426,1,11,prac,0,0.6729288999922574,-40.0
23,lyy,f,22,r,1,(-121.76378772032348, 121.76378772032349),24,-3,11,yes,x,5,m,0.6601645000046119,0,12,prac,0,0.6603783000027761,-48.0
23,lyy,f,22,r,1,(121.76378772032349, 121.76378772032349),22,7,3,yes,x,5,x,0.8857395999366418,1,13,prac,0,0.8858902000356466,-38.0
23,lyy,f,22,r,1,(-121.76378772032352, -121.76378772032348),26,-5,12,no,m,6,m,1.0030298999045044,1,14,prac,0,1.003243500017561,-38.0
23,lyy,f,22,r,1,(-121.76378772032352, -121.76378772032348),26,-7,13,no,m,6,m,1.1104440999915823,1,15,prac,0,1.1105635999701917,-38.0
23,lyy,f,22,r,1,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,yes,x,5,x,1.0723256000783294,1,16,prac,0,1.0725030000321567,-42.0
23,lyy,f,22,r,1,(-3.163262682197613e-14, -172.20000000000002),27,-3,11,yes,x,5,m,1.1220862999325618,0,17,prac,0,1.1222904999740422,-48.0
