subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
7,wby,m,23,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-25,14,yes,x,5,x,0.8666297000017948,1,1,test1,1,0.866729999994277,-70.0
7,wby,m,23,r,2,(-3.163262682197613e-14, -172.20000000000002),27,-3,11,no,m,6,m,0.5801179999980377,1,2,test1,1,0.5804009999992559,-70.0
7,wby,m,23,r,2,(121.76378772032349, 121.76378772032349),22,7,3,no,m,6,m,0.5260099000006448,1,3,test1,1,0.526138200002606,-70.0
7,wby,m,23,r,2,(1.0544208940658713e-14, 172.20000000000002),23,-7,13,yes,x,5,x,0.606823499998427,1,4,test1,1,0.6072127999941586,-52.0
7,wby,m,23,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,7,3,yes,x,5,m,0.6322156000096584,0,5,test1,1,0.6324282999994466,-38.0
7,wby,m,23,r,2,(172.20000000000002, 0.0),21,3,1,yes,x,5,m,0.8318776999949478,0,6,test1,1,0.8319869000115432,-42.0
7,wby,m,23,r,2,(172.20000000000002, 0.0),21,-25,14,yes,x,5,x,0.4646904999972321,1,7,test1,1,0.46482239999750163,-70.0
7,wby,m,23,r,2,(121.76378772032346, -121.76378772032352),28,7,3,yes,x,5,x,0.7352026000007754,1,8,test1,1,0.7354298999998719,-38.0
7,wby,m,23,r,2,(121.76378772032346, -121.76378772032352),28,7,3,no,m,6,m,0.6990460999950301,1,9,test1,1,0.6991474000096787,-38.0
7,wby,m,23,r,2,(121.76378772032346, -121.76378772032352),28,3,1,yes,x,5,m,0.8001581999997143,0,10,test1,1,0.8002595999860205,-42.0
7,wby,m,23,r,2,(172.20000000000002, 0.0),21,5,2,no,m,6,m,1.231809400007478,1,11,test1,1,1.232143700006418,-42.0
7,wby,m,23,r,2,(-121.76378772032348, 121.76378772032349),24,25,4,yes,x,5,x,0.5331110999977682,1,12,test1,1,0.5333170000085374,-20.0
7,wby,m,23,r,2,(1.0544208940658713e-14, 172.20000000000002),23,5,2,yes,x,5,x,0.6854967000108445,1,13,test1,1,0.6861135000071954,-40.0
7,wby,m,23,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,yes,x,5,m,0.7731297999998787,0,14,test1,1,0.7732229000102961,-42.0
7,wby,m,23,r,2,(-121.76378772032348, 121.76378772032349),24,-3,11,no,m,6,m,0.9150853999890387,1,15,test1,1,0.9152007999946363,-42.0
7,wby,m,23,r,2,(-3.163262682197613e-14, -172.20000000000002),27,5,2,yes,x,5,m,0.7913021000131266,0,16,test1,1,0.7914175999903819,-40.0
7,wby,m,23,r,2,(-121.76378772032352, -121.76378772032348),26,-3,11,yes,x,5,m,0.7494027999928221,0,17,test1,1,0.7495195999945281,-48.0
7,wby,m,23,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-25,14,no,m,6,x,0.7908119000057923,0,18,test1,1,0.7910955000115791,-48.0
7,wby,m,23,r,2,(121.76378772032349, 121.76378772032349),22,-25,14,no,m,6,m,0.659640700003365,1,19,test1,1,0.6597371000098065,-48.0
7,wby,m,23,r,2,(121.76378772032346, -121.76378772032352),28,5,2,no,m,6,m,0.5974070000083884,1,20,test1,1,0.597624400004861,-48.0
7,wby,m,23,r,2,(172.20000000000002, 0.0),21,-7,13,yes,x,5,x,0.6549589000060223,1,21,test1,1,0.6553906000044663,-52.0
7,wby,m,23,r,2,(-121.76378772032348, 121.76378772032349),24,7,3,no,m,6,x,0.9173129999981029,0,22,test1,1,0.9174280000006547,-52.0
7,wby,m,23,r,2,(121.76378772032349, 121.76378772032349),22,-5,12,yes,x,5,m,0.8985435999929905,0,23,test1,1,0.8989072999975178,-50.0
7,wby,m,23,r,2,(121.76378772032346, -121.76378772032352),28,-5,12,yes,x,5,x,1.1029064000031212,1,24,test1,1,1.1031283000047551,-50.0
7,wby,m,23,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,5,2,yes,x,5,x,0.6154106000030879,1,25,test1,1,0.615716699991026,-40.0
7,wby,m,23,r,2,(-121.76378772032348, 121.76378772032349),24,5,2,no,m,6,m,1.0978901000053156,1,26,test1,1,1.0979902999970363,-40.0
7,wby,m,23,r,2,(1.0544208940658713e-14, 172.20000000000002),23,-3,11,no,m,6,m,0.7615995000087423,1,27,test1,1,0.7617011000111233,-40.0
7,wby,m,23,r,2,(121.76378772032346, -121.76378772032352),28,-3,11,no,m,6,m,0.7255751000047894,1,28,test1,1,0.7258116000011796,-40.0
7,wby,m,23,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,5,2,no,m,6,m,0.8363223000051221,1,29,test1,1,0.8364224999968428,-40.0
7,wby,m,23,r,2,(172.20000000000002, 0.0),21,-5,12,yes,x,5,m,0.8023778000060702,0,30,test1,1,0.8025430000125198,-50.0
7,wby,m,23,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,7,3,no,m,6,m,1.2267428000050131,1,31,test1,1,1.226983200001996,-50.0
7,wby,m,23,r,2,(172.20000000000002, 0.0),21,7,3,no,m,6,m,0.8893833000038285,1,32,test1,1,0.8896387999993749,-50.0
7,wby,m,23,r,2,(121.76378772032349, 121.76378772032349),22,25,4,no,m,6,x,0.876334799992037,0,33,test1,1,0.8769527999975253,-50.0
7,wby,m,23,r,2,(-121.76378772032352, -121.76378772032348),26,25,4,yes,x,5,x,0.5924831000011181,1,34,test1,1,0.592706100011128,-20.0
7,wby,m,23,r,2,(121.76378772032349, 121.76378772032349),22,3,1,yes,x,5,m,1.1221476000064285,0,35,test1,1,1.1223059000039939,-42.0
7,wby,m,23,r,2,(-121.76378772032352, -121.76378772032348),26,-25,14,yes,x,5,x,0.5533891999948537,1,36,test1,1,0.5537840000033611,-70.0
7,wby,m,23,r,2,(-121.76378772032352, -121.76378772032348),26,7,3,yes,x,5,x,0.5689450000063516,1,37,test1,1,0.5690956999897026,-38.0
7,wby,m,23,r,2,(1.0544208940658713e-14, 172.20000000000002),23,-25,14,yes,x,5,x,0.47686009999597445,1,38,test1,1,0.4769579999992857,-70.0
7,wby,m,23,r,2,(172.20000000000002, 0.0),21,7,3,yes,x,5,x,0.5459958999999799,1,39,test1,1,0.5463004000048386,-38.0
7,wby,m,23,r,2,(-121.76378772032348, 121.76378772032349),24,7,3,yes,x,5,x,0.5322096000018064,1,40,test1,1,0.5324107000051299,-38.0
7,wby,m,23,r,2,(-121.76378772032352, -121.76378772032348),26,-5,12,yes,x,5,x,0.5728225999919232,1,41,test1,1,0.5733010999974795,-50.0
7,wby,m,23,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-5,12,yes,x,5,x,0.5575355000037234,1,42,test1,1,0.557775400011451,-50.0
7,wby,m,23,r,2,(1.0544208940658713e-14, 172.20000000000002),23,7,3,yes,x,5,x,0.47051300000748597,1,43,test1,1,0.470614799996838,-38.0
7,wby,m,23,r,2,(121.76378772032346, -121.76378772032352),28,-5,12,no,m,6,m,0.7432177000009688,1,44,test1,1,0.743318900000304,-38.0
7,wby,m,23,r,2,(121.76378772032346, -121.76378772032352),28,-25,14,no,m,6,m,0.6798724999971455,1,45,test1,1,0.6802958000043873,-38.0
7,wby,m,23,r,2,(172.20000000000002, 0.0),21,5,2,yes,x,5,x,0.6092705000046408,1,46,test1,1,0.6093863999994937,-40.0
7,wby,m,23,r,2,(121.76378772032349, 121.76378772032349),22,-3,11,yes,x,5,x,1.0722251999977743,1,47,test1,1,1.0724519999930635,-48.0
7,wby,m,23,r,2,(-3.163262682197613e-14, -172.20000000000002),27,-25,14,no,m,6,m,0.9828553999977885,1,48,test1,1,0.9834116999991238,-48.0
7,wby,m,23,r,2,(-3.163262682197613e-14, -172.20000000000002),27,-5,12,no,m,6,m,0.9291474000056041,1,49,test1,1,0.929306899997755,-48.0
7,wby,m,23,r,2,(121.76378772032346, -121.76378772032352),28,-3,11,yes,x,5,m,0.689448999997694,0,50,test1,1,0.6895458000071812,-48.0
7,wby,m,23,r,2,(-121.76378772032348, 121.76378772032349),24,-3,11,yes,x,5,x,1.2509704999974929,1,51,test1,1,1.2513977000053274,-48.0
7,wby,m,23,r,2,(121.76378772032349, 121.76378772032349),22,-3,11,yes,x,5,x,1.2532502000103705,1,52,test1,1,1.2534250000026077,-48.0
7,wby,m,23,r,2,(172.20000000000002, 0.0),21,-25,14,no,m,6,x,0.644470100000035,0,53,test1,1,0.6445657000003848,-48.0
7,wby,m,23,r,2,(172.20000000000002, 0.0),21,-7,13,yes,x,5,x,0.6046394999866607,1,54,test1,1,0.6047627000079956,-52.0
7,wby,m,23,r,2,(172.20000000000002, 0.0),21,25,4,yes,x,5,x,0.5728984000015771,1,55,test1,1,0.5733735999965575,-20.0
7,wby,m,23,r,2,(172.20000000000002, 0.0),21,7,3,yes,x,5,x,0.5364716000040062,1,56,test1,1,0.5366608000040287,-38.0
7,wby,m,23,r,2,(-121.76378772032348, 121.76378772032349),24,-25,14,no,m,6,m,1.1561561999988044,1,57,test1,1,1.1567298000009032,-38.0
7,wby,m,23,r,2,(-121.76378772032348, 121.76378772032349),24,5,2,yes,x,5,x,0.758428000001004,1,58,test1,1,0.758740699995542,-40.0
7,wby,m,23,r,2,(121.76378772032349, 121.76378772032349),22,5,2,yes,x,5,x,1.150626500006183,1,59,test1,1,1.1508552999875974,-40.0
7,wby,m,23,r,2,(121.76378772032346, -121.76378772032352),28,5,2,yes,x,5,x,1.2835906999971485,1,60,test1,1,1.2836893999919994,-40.0
7,wby,m,23,r,2,(-121.76378772032352, -121.76378772032348),26,3,1,yes,x,5,m,1.090182800006005,0,61,test1,1,1.0904453999974066,-42.0
7,wby,m,23,r,2,(121.76378772032346, -121.76378772032352),28,3,1,yes,x,5,x,1.4109493999858387,1,62,test1,1,1.4111727999988943,-42.0
7,wby,m,23,r,2,(-3.163262682197613e-14, -172.20000000000002),27,3,1,yes,x,5,m,0.9767392000067048,0,63,test1,1,0.9771939999918686,-42.0
7,wby,m,23,r,2,(-121.76378772032352, -121.76378772032348),26,-7,13,yes,x,5,x,0.5674060000019381,1,64,test1,1,0.567638699998497,-52.0
7,wby,m,23,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,no,m,6,m,1.316406600002665,1,65,test1,1,1.3165171000000555,-52.0
