subj_id,subj_name,subj_gender ,subj_age,subj_handedness,subj_runNum,tar_l_x,tar_l_y,loc_code,tar_ori,tar_code,tar_pre ,cor_response,pre_code,subj_response,RT,correct,trial_num,type,bloc_num,dur, real_tar
5,ab,m,19,r,2,(-121.76378772032348, 121.76378772032349),24,7,3,no,m,6,m,0.8682187000013073,1,1,test1,1,0.8685073000015109,0.0
5,ab,m,19,r,2,(-121.76378772032348, 121.76378772032349),24,-3,11,yes,x,5,m,0.67540320000262,0,2,test1,1,0.6755305999977281,-48.0
5,ab,m,19,r,2,(172.20000000000002, 0.0),21,5,2,yes,x,5,x,0.530927599997085,1,3,test1,1,0.5311587000032887,-40.0
5,ab,m,19,r,2,(1.0544208940658713e-14, 172.20000000000002),23,-25,14,no,m,6,None,None,0,4,test1,1,1.9800900999980513,-40.0
5,ab,m,19,r,2,(-3.163262682197613e-14, -172.20000000000002),27,5,2,no,m,6,m,0.5382595000046422,1,5,test1,1,0.5383970000038971,-40.0
5,ab,m,19,r,2,(121.76378772032349, 121.76378772032349),22,25,4,no,m,6,m,0.5148826000004192,1,6,test1,1,0.5150385000015376,-40.0
5,ab,m,19,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-7,13,no,m,6,m,0.5843287000025157,1,7,test1,1,0.5845553000035579,-40.0
5,ab,m,19,r,2,(1.0544208940658713e-14, 172.20000000000002),23,-7,13,no,m,6,m,0.4147847999993246,1,8,test1,1,0.4150164000020595,-40.0
5,ab,m,19,r,2,(1.0544208940658713e-14, 172.20000000000002),23,25,4,no,m,6,m,0.5390282000007574,1,9,test1,1,0.5392547999945236,-40.0
5,ab,m,19,r,2,(-121.76378772032352, -121.76378772032348),26,7,3,yes,x,5,x,0.6333983000004082,1,10,test1,1,0.6335612999973819,-38.0
5,ab,m,19,r,2,(-121.76378772032352, -121.76378772032348),26,-5,12,yes,x,5,x,0.6622136000005412,1,11,test1,1,0.6625008999981219,-50.0
5,ab,m,19,r,2,(-121.76378772032352, -121.76378772032348),26,7,3,yes,x,5,x,0.5093273999955272,1,12,test1,1,0.5095666999986861,-38.0
5,ab,m,19,r,2,(-121.76378772032348, 121.76378772032349),24,-7,13,yes,x,5,x,0.5727246999958879,1,13,test1,1,0.5728901999973459,-52.0
5,ab,m,19,r,2,(121.76378772032346, -121.76378772032352),28,-7,13,yes,x,5,x,0.694144300003245,1,14,test1,1,0.6943266000016592,-52.0
5,ab,m,19,r,2,(-121.76378772032352, -121.76378772032348),26,3,1,yes,x,5,x,0.6082487000021501,1,15,test1,1,0.6083899000004749,-42.0
5,ab,m,19,r,2,(-121.76378772032348, 121.76378772032349),24,7,3,yes,x,5,x,0.6025703999985126,1,16,test1,1,0.6027995000040391,-38.0
5,ab,m,19,r,2,(172.20000000000002, 0.0),21,-25,14,yes,x,5,x,0.5275935999961803,1,17,test1,1,0.5278210999967996,-70.0
5,ab,m,19,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,3,1,yes,x,5,x,0.6525819000016782,1,18,test1,1,0.6526955000008456,-42.0
5,ab,m,19,r,2,(-121.76378772032348, 121.76378772032349),24,-25,14,no,m,6,m,1.128984599999967,1,19,test1,1,1.129171900000074,-42.0
5,ab,m,19,r,2,(-121.76378772032352, -121.76378772032348),26,7,3,no,m,6,m,0.9354970999993384,1,20,test1,1,0.9356145999990986,-42.0
5,ab,m,19,r,2,(121.76378772032349, 121.76378772032349),22,5,2,yes,x,5,m,0.8868737000011606,0,21,test1,1,0.886991899998975,-40.0
5,ab,m,19,r,2,(-3.163262682197613e-14, -172.20000000000002),27,-5,12,yes,x,5,x,0.6665694999974221,1,22,test1,1,0.6668668999991496,-50.0
5,ab,m,19,r,2,(-121.76378772032352, -121.76378772032348),26,-7,13,yes,x,5,x,0.5496389999971143,1,23,test1,1,0.549731499995687,-52.0
5,ab,m,19,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-3,11,no,m,6,m,0.7613349000021117,1,24,test1,1,0.7620255000001634,-52.0
5,ab,m,19,r,2,(-3.163262682197613e-14, -172.20000000000002),27,-25,14,yes,x,5,x,0.5068192999970051,1,25,test1,1,0.5069985000009183,-70.0
5,ab,m,19,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-5,12,no,m,6,m,0.6317695000034291,1,26,test1,1,0.6321853999979794,-70.0
5,ab,m,19,r,2,(-172.20000000000002, 2.1088417881317425e-14),25,-5,12,yes,x,5,x,0.9752427999992506,1,27,test1,1,0.9755263999977615,-50.0
5,ab,m,19,r,2,(121.76378772032349, 121.76378772032349),22,-3,11,yes,x,5,m,0.5621831999960705,0,28,test1,1,0.5622980999978608,-48.0
5,ab,m,19,r,2,(-121.76378772032348, 121.76378772032349),24,-7,13,no,m,6,m,0.6362775999950827,1,29,test1,1,0.6366912000012235,-48.0
